ASIN,YEAR,MONTH,DAY,ORDER_FEATURE,DESCRIBE_FEATURE,STAR_FEATURE
B07NJQ89D5,2022,1,24,1,Value for money,4.2
B07NJQ89D5,2022,1,24,2,Scent,4.1
B07NJQ89D5,2022,1,24,3,Moisturizing,3.9
B094KVYZSC,2022,1,24,1,Moisturizing,3.6
B094KVYZSC,2022,1,24,2,Value for money,3.4
B094KVYZSC,2022,1,24,3,Scent,3.2
B094KT28DV,2022,1,24,1,Scent,4
B094KT28DV,2022,1,24,2,Value for money,3.8
B094KT28DV,2022,1,24,3,Moisturizing,3.6
B07N3BN1KS,2022,1,24,1,Scent,4.4
B07N3BN1KS,2022,1,24,2,Softness,4.2
B07N3BN1KS,2022,1,24,3,Moisturizing,4.2
B07N3BN1KS,2022,1,24,4,Value for money,4.1
B008J2GP9G,2022,1,24,1,Moisturizing,4
B008J2GP9G,2022,1,24,2,Scent,4
B008J2GP9G,2022,1,24,3,Softness,4
B008J2GP9G,2022,1,24,4,Sheerness,3.8
B07BVKK11Q,2022,1,24,1,Scent,4.4
B07BVKK11Q,2022,1,24,2,Value for money,4.4
B07BVKK11Q,2022,1,24,3,Softness,4.3
B07BVKK11Q,2022,1,24,4,Moisturizing,4.1
B000TGC8D2,2022,1,24,1,Scent,4.1
B000TGC8D2,2022,1,24,2,Softness,4
B000TGC8D2,2022,1,24,3,Moisturizing,4
B000TGC8D2,2022,1,24,4,Sheerness,3.8
B00FH692PQ,2022,1,24,1,Ingredient quality,4.1
B00FH692PQ,2022,1,24,2,Hair quality,4
B00FH692PQ,2022,1,24,3,Scent,3.9
B002KG28PW,2022,1,24,1,Scent,4.4
B002KG28PW,2022,1,24,2,Moisturizing,4.2
B002KG28PW,2022,1,24,3,Softness,4.1
B000MD65FO,2022,1,24,1,Scent,4.6
B000MD65FO,2022,1,24,2,Comfort,4.4
B000MD65FO,2022,1,24,3,Moisturizing,4.3
B000MD65FO,2022,1,24,4,Softness,4.3
B000MD65FO,2022,1,24,5,Value for money,4.3
B07N3BN1KS,2022,1,24,1,Scent,4.4
B07N3BN1KS,2022,1,24,2,Softness,4.2
B07N3BN1KS,2022,1,24,3,Moisturizing,4.2
B07N3BN1KS,2022,1,24,4,Value for money,4.1
B08BTNS4K8,2022,1,24,1,Value for money,4.3
B08BTNS4K8,2022,1,24,2,Softness,4.3
B08BTNS4K8,2022,1,24,3,Moisturizing,4.3
B08BTNS4K8,2022,1,24,4,Scent,4.2
B01DZSM0HY,2022,1,24,1,Value for money,4.1
B01DZSM0HY,2022,1,24,2,Moisturizing,3.8
B01DZSM0HY,2022,1,24,3,Softness,3.7
B01DZSM0HY,2022,1,24,4,Scent,3.7
B078H4HXSM,2022,1,24,1,Scent,4.4
B078H4HXSM,2022,1,24,2,Value for money,3.8
B0006FMK98,2022,1,24,1,Scent,4.2
B0006FMK98,2022,1,24,2,Softness,3.7
B0006FMK98,2022,1,24,3,Moisturizing,3.5
B07CJMJS3L,2022,1,24,1,Value for money,4.6
B07CJMJS3L,2022,1,24,2,Scent,4.2
B07CJMJS3L,2022,1,24,3,Moisturizing,3.9
B00C5AHTVQ,2022,1,24,1,Scent,4.4
B00C5AHTVQ,2022,1,24,2,Moisturizing,4.4
B00C5AHTVQ,2022,1,24,3,Softness,4.3
B094KY78HJ,2022,1,24,1,Easy to use,4.7
B094KY78HJ,2022,1,24,2,Value for money,4.5
B094KY78HJ,2022,1,24,3,Scent,4.1
B0038TXGL0,2022,1,24,1,Softness,4.1
B0038TXGL0,2022,1,24,2,Scent,4.1
B0038TXGL0,2022,1,24,3,Moisturizing,4.1
B0842YG95G,2022,1,24,1,Value for money,4.7
B0842YG95G,2022,1,24,2,Scent,4.5
B0842YG95G,2022,1,24,3,Softness,4.5
B0842YG95G,2022,1,24,4,Moisturizing,4.4
B0842YG95G,2022,1,24,5,Sheerness,4.4
